"uid","title","year","format","barcode","imdb_id","runtime","director","watched","poster_url","box_set","genre_ids","hidden","title_da","actors"
"42","True Romance","1993","DVD","5705535031288","tt0108399","115","Tony Scott","true","https://image.tmdb.org/t/p/w300/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg","","Action|Crime|Romance","","True Romance","Christian Slater|Patricia Arquette|Dennis Hopper|Val Kilmer|Gary Oldman"
"43","Barton Fink","1991","DVD","5050582489644","tt0101410","114","Joel Coen","true","https://image.tmdb.org/t/p/w300/oDkp5iClJ9WKJGtKHz8BydodHC3.jpg","","Comedy|Drama|Thriller","","Barton Fink","John Turturro|John Goodman|Judy Davis|Michael Lerner|John Mahoney"
"44","Once Were Warriors","1994","DVD","5706102331954","tt0110729","99","Lee Tamahori","true","https://image.tmdb.org/t/p/w300/kRNANrGG50AaU2TwN0kg7tkYqlQ.jpg","","Drama","","Once Were Warriors","Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell|Julian Arahanga|Taungaroa Emile"
"45","Bugsy Malone","1976","DVD","5709624003255","tt0074256","90","Alan Parker","true","https://image.tmdb.org/t/p/w300/j9BPl3jkNCFgsYe5poKrirUqrf8.jpg","","Drama|Action|Comedy|Music|Family","","Bugsy Malone","Scott Baio|Florrie Dugger|Jodie Foster|John Cassisi|Martin Lev"
"46","Once Upon a Time in... Hollywood","2019","4K Ultra HD","7330031007161","tt7131622","161","Quentin Tarantino","true","https://image.tmdb.org/t/p/w300/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg","","Comedy|Drama|Thriller","","Once Upon a Time... in Hollywood","Leonardo DiCaprio|Brad Pitt|Margot Robbie|Emile Hirsch|Margaret Qualley"
"47","E.T. the Extra-Terrestrial","1982","DVD","3259190522695","tt0083866","115","Steven Spielberg","true","https://image.tmdb.org/t/p/w300/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg","","Sci-Fi|Adventure|Family|Fantasy","","E.T. the Extra-Terrestrial","Henry Thomas|Drew Barrymore|Robert MacNaughton|Peter Coyote|Dee Wallace"
"48","O Brother, Where Art Thou?","2000","DVD","5708758640138","tt0190590","102","Joel Coen","true","https://image.tmdb.org/t/p/w300/s9foMAcLg8GEzzQzer04qOGdD1k.jpg","","Adventure|Comedy|Crime","","O Brother, Where Art Thou?","George Clooney|John Turturro|Tim Blake Nelson|John Goodman|Holly Hunter"
"49","Ponyo","2008","Blu-ray","5705535062459","tt0876563","0","Hayao Miyazaki","true","https://image.tmdb.org/t/p/w300/yp8vEZflGynlEylxEesbYasc06i.jpg","","Animation|Fantasy|Family","","Ponyo på klippen ved havet","神月柚莉愛|土井洋輝|所ジョージ|山口智子|天海祐希"
"50","Aladdin","1992","DVD","8717418203771","tt0103639","87","Ron Clements","true","https://image.tmdb.org/t/p/w300/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg","","Animation|Family|Adventure|Fantasy|Romance","","Aladdin","Scott Weinger|Robin Williams|Linda Larkin|Jonathan Freeman|Gilbert Gottfried"
"51","The Rainmaker","1997","DVD","7393805220463","tt0119978","130","Francis Ford Coppola","true","https://image.tmdb.org/t/p/w300/twLGHXPjQtS8UyVGp5GXmhJiTM7.jpg","","Drama|Crime|Thriller","","The Rainmaker","Matt Damon|Claire Danes|Danny DeVito|Jon Voight|Mary Kay Place"
"52","Apocalypse Now: Redux","2001","DVD","5706550032786","tt0078788","194","Francis Ford Coppola","true","https://image.tmdb.org/t/p/w300/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg","","Drama|War","","Dommedag nu","Martin Sheen|Marlon Brando|Frederic Forrest|Albert Hall|Laurence Fishburne"
"53","Robin Hood - Den Fredløse","1991","DVD","7321979140010","tt0102798","149","Kevin Reynolds","false","https://image.tmdb.org/t/p/w300/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg","","Action|Adventure|Drama","","Robin Hood: Den fredløse","Kevin Costner|Morgan Freeman|Mary Elizabeth Mastrantonio|Christian Slater|Alan Rickman"
"54","Persepolis","2007","DVD","5704897021166","tt0808417","92","Mariane Satrapi","true","https://image.tmdb.org/t/p/w300/aU8i2QAdTyRR1nYb36Gq51xXP8p.jpg","","Animation|Drama","","Persepolis","Chiara Mastroianni|Danielle Darrieux|Catherine Deneuve|Simon Abkarian|Gabrielle Lopes Benites"
"55","Deer Hunter","1978","DVD","5709624005365","tt0077416","176","Michael Cimino(VII)","true","https://image.tmdb.org/t/p/w300/bbGtogDZOg09bm42KIpCXUXICkh.jpg","","Drama|War","","The Deer Hunter","Robert De Niro|Christopher Walken|John Cazale|John Savage|Meryl Streep"
"56","Busters verden","1984","DVD","5709624003156","tt0087013","91","Bille August","true","https://image.tmdb.org/t/p/w300/wFOBwBNTXN7BTcNmMbGDXzZYtIF.jpg","","Family","","Busters verden","Mads Bugge Andersen|Katarina Stenbeck|Peter Schrøder|Katja Miehe-Renard|Signe Dahl Madsen"
"57","Little Miss Sunshine","2006","DVD","5707020334140","tt0449059","98","Jonathan Dayton","true","https://image.tmdb.org/t/p/w300/niNdhTpPHSgw22tK0PLjQMV640v.jpg","","Comedy|Drama","","Little Miss Sunshine","Greg Kinnear|Toni Collette|Steve Carell|Paul Dano|Abigail Breslin"
"58","Juno","2007","DVD","5707019362802","tt0467406","92","Jason Reitman","true","https://image.tmdb.org/t/p/w300/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg","","Comedy|Drama|Romance","","Juno","Elliot Page|Michael Cera|Jennifer Garner|Jason Bateman|J.K. Simmons"
"59","25th Hour","2002","DVD","7393834334100","tt0307901","129","Spike Lee","false","https://image.tmdb.org/t/p/w300/uW7tTRElr2tRhmAVESzvHy4ByXg.jpg","","Crime|Drama","","25th Hour","Edward Norton|Philip Seymour Hoffman|Barry Pepper|Rosario Dawson|Anna Paquin"
"60","Manderlay","2005","DVD","5705410661999","tt0342735","0","Lars Von Trier","true","https://image.tmdb.org/t/p/w300/6HYoHEcLNgETHlJDyQrC4Y7e01.jpg","","Drama","","Manderlay","Bryce Dallas Howard|Isaach de Bankolé|Danny Glover|Willem Dafoe|Michaël Abiteboul"
"61","The Royal Tenenbaums","2001","DVD","786936165425","tt0265666","110","Wes Anderson","true","https://image.tmdb.org/t/p/w300/nG7hZJn7wQTSDCQT39Gy3s3tbrp.jpg","","Comedy|Drama","","The Royal Tenenbaums","Gene Hackman|Anjelica Huston|Ben Stiller|Gwyneth Paltrow|Luke Wilson"
"62","Stalingrad","1993","DVD","5706102325724","tt0000000","132","Joseph Vilsmaier","true","","","","","",""
"63","Snuff Movie","1996","DVD","5703976143447","tt0117883","119","Alejandro Amenábar","true","https://image.tmdb.org/t/p/w300/dPyONW7fyb3iQ5s4WieNaHSX2id.jpg","","Horror|Thriller","","Snuff","Ana Torrent|Fele Martínez|Eduardo Noriega|Xabier Elorriaga|Miguel Picazo"
"64","Y Tu Mama Tambien","2001","DVD","7321900937788","tt0245574","101","Alfonso Cuarón","true","https://image.tmdb.org/t/p/w300/aj3rqjab8jfc2fWmcS3H3c5qbur.jpg","","Drama|Romance","","...og din mor!","Maribel Verdú|Gael García Bernal|Diego Luna|Daniel Giménez Cacho|Diana Bracho"
"65","Audition","2002","DVD","5023965334022","tt0235198","111","Takashi Miike","true","https://image.tmdb.org/t/p/w300/zwGaUMm0wAqi0wkO7LJDlwoA5LP.jpg","","Horror|Drama","","Audition","石橋凌|椎名英姫|Jun Kunimura|沢木哲|石橋蓮司"
"66","Et smukt sind","2001","DVD","0667068832624","tt0268978","130","Ron Howard","true","https://image.tmdb.org/t/p/w300/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg","","Drama|Romance","","Et smukt sind","Russell Crowe|Jennifer Connelly|Ed Harris|Paul Bettany|Christopher Plummer"
"67","Man on the Moon","1999","DVD","7321979186414","tt0125664","114","Milos Forman","true","https://image.tmdb.org/t/p/w300/msOZS07xRIFnapwp3fprGbKEAfT.jpg","","Comedy|Drama|History","","Man on the Moon","Jim Carrey|Danny DeVito|Courtney Love|Paul Giamatti|Vincent Schiavelli"
"68","The Constant Gardener","2005","DVD","5704017870575","tt0387131","0","Fernando Meirelles","true","https://image.tmdb.org/t/p/w300/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg","","Drama|Mystery|Thriller","","The Constant Gardener","Ralph Fiennes|Rachel Weisz|Danny Huston|Bill Nighy|Pete Postlethwaite"
"69","Monas Verden","2001","DVD","5708758642897","tt0257930","85","Jonas Elmer","true","https://image.tmdb.org/t/p/w300/b4hfC5FTM0Dkg5vDpgLQTRWlQV8.jpg","","Comedy","","Monas verden","Sidse Babett Knudsen|Thomas Bo Larsen|Mads Mikkelsen|Klaus Bondam|Bjarne Henriksen"
"70","Dear Wendy","2005","DVD","5705410654410","tt0342272","0","Thomas Vinterberg","false","https://image.tmdb.org/t/p/w300/2IF19Tcx5D9d8iUWa0PxFhO6MYZ.jpg","","Comedy|Crime|Drama|Romance","","Dear Wendy","Jamie Bell|Bill Pullman|Michael Angarano|Danso Gordon|Novella Nelson"
"71","The Fisher King","1991","DVD","5050582193817","tt0101889","0","Terry Gilliam","true","https://image.tmdb.org/t/p/w300/hwIYw22HmAUMobV4zsX69MgfVUz.jpg","","Comedy|Drama","","The Fisher King","Robin Williams|Jeff Bridges|Amanda Plummer|Mercedes Ruehl|Michael Jeter"
"72","Irréversible","2002","DVD","5706102359873","tt0290673","94","Gaspar Noé","true","https://image.tmdb.org/t/p/w300/rxeDxo8FvZpLu6iplNpxdtAVnfu.jpg","","Drama|Thriller|Crime","","Irréversible","Monica Bellucci|Vincent Cassel|Albert Dupontel|Jo Prestia|Philippe Nahon"
"73","City of God","2002","DVD","5706102362118","tt0317248","124","Fernando Meirelles","true","https://image.tmdb.org/t/p/w300/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg","","Drama|Crime","","City of God","Alexandre Rodrigues|Leandro Firmino|Phellipe Haagensen|Douglas Silva|Jonathan Haagensen"
"74","Ilsa: Haremmets slavepisker","1976","DVD","5706102357138","tt0074670","89","Don Edmonds","true","https://image.tmdb.org/t/p/w300/4VJCCR8pHotBu1hn62vpeSsii3S.jpg","","Action|Horror|War|Thriller","","Ilsa, haremmets slavepissker","Dyanne Thorne|Max Thayer|Jerry Delony|Uschi Digard|Colleen Brennan"
"75","En Lang Forlovelse","2004","DVD","7321980389712","tt0344510","0","Jean-Pierre Jeunet","true","https://image.tmdb.org/t/p/w300/jZ3Ir3d69dsyxif8dTVh3DjKzKH.jpg","","Drama|Romance|War","","En lang forlovelse","Audrey Tautou|Gaspard Ulliel|Dominique Pinon|Chantal Neuwirth|André Dussollier"
