189,"Disc Title","Ali",5708758654586,"DVD",2001,tt0248667,150,"Michael Mann","Will Smith,Jamie Foxx,Jon Voight,Mario Van Peebles,Ron Silver,Jeffrey Wright,Mykelti Williamson,Jada Pinkett Smith,Nona Gaye,Michael Michele,Michael Mann,Gregory Allen Howard,Stephen J. Rivele,Christopher Wilkinson,Eric Roth,Michael Mann",
163,"Disc Title","Cool Runnings",9398522325031,"DVD",1993,tt0106611,94,"Jon Turteltaub","Leon,Doug E. Doug,Rawle D. Lewis,Malik Yoba,John Candy,Raymond J. Barry,Peter Outerbridge,Paul Coeur,Larry Gilman,Charles Hyatt,Jon Turteltaub,Lynn Siefert,Michael Ritchie,Tommy Swerdlow,Michael Goldberg",
287,"Disc Title","The Lord of the Rings: The Motion Picture Trilogy",7333018017948,"4K Ultra HD",2003,tt0000000,201,"","",
243,"Disc Title","De fortabte børns by",5050582418729,"DVD",1995,tt0112682,68,"Marc Caro","Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Jean-Claude Dreyfus,Geneviève Brunet,Odile Mallet,Mireille Mossé,Serge Merlin,Rufus,Marc Caro,Jean-Pierre Jeunet,Gilles Adrien,Jean-Pierre Jeunet,Marc Caro,Gilles Adrien,Guillaume Laurant,Jean-Pierre Jeunet",
7,"Disc Title","Eastern Promises",5706885216707,"DVD",2007,tt0765443,100,"David Cronenberg","Josef Altin,Mina E. Mina,Aleksandar Mikic,Sarah-Jeanne Labrosse,Lalita Ahmed,Badi Uzzaman,Naomi Watts,Doña Croll,Raza Jaffrey,Sinéad Cusack,David Cronenberg,Steven Knight,Paul Webster,Robert Lantos,Tracey Seaward,Stephen Garrett,David M. Thompson,Jeff Abberley,Peter Suschitzky,Ronald Sanders,Howard Shore",
219,"Disc Title","Jurassic Park Ultimate Trilogy",5050582914238,"Blu-ray",1900,tt0000000,352,"","",
38,"Disc Title","Alien Quadrilogy Box Set",5707020252314,"DVD",1900,tt0000000,95,"","",
58,"Disc Title","Panic Room",5050582240498,"DVD",2002,tt0258000,107,"David Fincher","Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam,Jared Leto,Patrick Bauchau,Ann Magnuson,Ian Buchanan,Andrew Kevin Walker,Paul Schulze,David Fincher",
77,"Disc Title","The Ninth Gate",5706141745644,"DVD",1999,tt0142688,136,"Roman Polanski","Johnny Depp,Frank Langella,Lena Olin,Emmanuelle Seigner,Barbara Jefford,Jack Taylor,José López Rodero,Tony Amoni,James Russo,Willy Holt,Roman Polanski,Enrique Urbizu,John Brownjohn,Roman Polanski,Arturo Pérez-Reverte,Roman Polanski,Darius Khondji,Hervé de Luze,Wojciech Kilar",
251,"Disc Title","The Wrestler",5705535038508,"DVD",2008,tt1125849,109,"Darren Aronofsky","Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,Todd Barry,Wass Stevens,Judah Friedlander,Ernest Miller,Dylan Keith Summers,Tommy Farra,Darren Aronofsky,Robert D. Siegel,Darren Aronofsky,Scott Franklin,Vincent Maraval,Agnés Mentre,Jennifer Roth,Mark Heyman,Evan Ginzburg,Ari Handel,Maryse Alberti,Andrew Weisblum,Clint Mansell",
109,"Disc Title","Chihiro og heksene",5705535056328,"Blu-ray",2001,tt0245429,125,"Hayao Miyazaki","Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi,Tatsuya Gashûin,Ryûnosuke Kamiki,Yumi Tamai,Yô Ôizumi,Koba Hayashi,Hayao Miyazaki,Hayao Miyazaki,Yasuyoshi Tokuma,Toshio Suzuki,Hironori Aihara,Kôji Hoshino,Takeyoshi Matsushita,Yutaka Narita,Banjiro Uemura,Seiichirô Ujiie,Ryoichi Fukuyama,Seiji Okuda,Atsushi Okui,Takeshi Seyama,Joe Hisaishi",
98,"Disc Title","Kannibal massakren",5709498010014,"DVD",1980,tt0078935,92,"Ruggero Deodato","Robert Kerman,Francesca Ciardi,Perry Pirkanen,Luca Barbareschi,Salvatore Basile,Ricardo Fuentes,Carl Gabriel Yorke,Paolo Paoloni,Lionello Pio Di Savoia,Luigina Rocchi,Ruggero Deodato,Gianfranco Clerici,Giorgio Stegani",
57,"Disc Title","True Romance",5705535031288,"DVD",1993,tt0108399,115,"Tony Scott","Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,Gary Oldman,Brad Pitt,Christopher Walken,Bronson Pinchot,Samuel L. Jackson,Michael Rapaport,Tony Scott,Quentin Tarantino",
75,"Disc Title","Barton Fink",5050582489644,"DVD",1991,tt0101410,114,"Joel Coen","Frances McDormand,John Turturro,John Goodman,Judy Davis,Michael Lerner,John Mahoney,Tony Shalhoub,Jon Polito,Steve Buscemi,David Warrilow,Joel Coen",
200,"Disc Title","Once Were Warriors",5706102331954,"DVD",1994,tt0110729,99,"Lee Tamahori","Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,Taungaroa Emile,Rachael Morris Jr.,Joseph Kairau,Cliff Curtis,Pete Smith,George Henare,Lee Tamahori,Riwia Brown,Alan Duff",
129,"Disc Title","Bugsy Malone",5709624003255,"DVD",1976,tt0074256,90,"Alan Parker","Scott Baio,Florrie Dugger,Jodie Foster,John Cassisi,Martin Lev,Paul Murphy,Sheridan Earl Russell,Albin 'Humpty' Jenkins,Paul Chirelstein,Andrew Paul,Alan Parker,Alan Parker,Alan Marshall,David Puttnam,Robert Stigwood,Michael Seresin,Peter Biziou,Gerry Hambling,Paul Williams",
286,"Disc Title","Once Upon a Time in... Hollywood",7330031007161,"4K Ultra HD",2019,tt7131622,161,"Quentin Tarantino","Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,Margaret Qualley,Timothy Olyphant,Julia Butters,Austin Butler,Dakota Fanning,Bruce Dern,Quentin Tarantino,Quentin Tarantino",
198,"Disc Title","E.T. the Extra-Terrestrial",3259190522695,"DVD",1982,tt0083866,115,"Steven Spielberg","Dee Wallace,Henry Thomas,Peter Coyote,Robert MacNaughton,Drew Barrymore,K.C. Martel,Sean Frye,C. Thomas Howell,Erika Eleniak,David M. O'Dell,Steven Spielberg,Melissa Mathison",
276,"Disc Title","O Brother, Where Art Thou?",5708758640138,"DVD",2000,tt0190590,102,"Joel Coen","George Clooney,John Turturro,Tim Blake Nelson,John Goodman,Holly Hunter,Chris Thomas King,Charles Durning,Del Pentecost,Michael Badalucco,J.R. Horne,Joel Coen,Ethan Coen,Homer,Ethan Coen,Joel Coen",
130,"Disc Title","Ponyo",5705535062459,"Blu-ray",2008,tt0876563,0,"Hayao Miyazaki","Tomoko Yamaguchi,Kazushige Nagashima,Yûki Amami,George Tokoro,Yuria Nara,Hiroki Doi,Rumi Hiiragi,Akiko Yano,Kazuko Yoshiyuki,Tomoko Naraoka,Hayao Miyazaki,Hayao Miyazaki",
131,"Disc Title","Aladdin",8717418203771,"DVD",1992,tt0103639,87,"Ron Clements","Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker,Gilbert Gottfried,Douglas Seale,Charles Adler,Jack Angel,Corey Burton,Ron Clements,John Musker,Ron Clements,John Musker",
280,"Disc Title","The Rainmaker",7393805220463,"DVD",1997,tt0119978,130,"Francis Ford Coppola","Matt Damon,Danny DeVito,Claire Danes,Jon Voight,Mary Kay Place,Dean Stockwell,Teresa Wright,Virginia Madsen,Mickey Rourke,Andrew Shue,Francis Ford Coppola,John Grisham,Francis Ford Coppola,Michael Herr",
70,"Disc Title","Dommedag Nu: Redux",5706550032786,"DVD",2001,tt0078788,194,"Francis Ford Coppola","Marlon Brando,Martin Sheen,Robert Duvall,Frederic Forrest,Sam Bottoms,Laurence Fishburne,Albert Hall,Harrison Ford,Dennis Hopper,G.D. Spradlin,Francis Ford Coppola,John Milius,Francis Ford Coppola,Michael Herr,Joseph Conrad",
232,"Disc Title","Robin Hood - Den Fredløse",7321979140010,"DVD",1991,tt0102798,149,"Kevin Reynolds","Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,Alan Rickman,Michael McShane,Brian Blessed,Michael Wincott,Nick Brimble,Soo Drouet,Kevin Reynolds",
